id,web_format,resolution,bitrate,codec,fps
249,webm,audio,50k,opus@50k,
250,webm,audio,66k,opus@70k,
171,webm,audio,116k,vorbis@128k,
140,m4a,audio,127k,m4a_dashcontainer,
251,webm,audio,131k,opus@160k,
160,mp4,256x144,116k,avc1.4d400c,30fps
278,webm,256x144,120k,vp9,30fps
242,webm,426x240,247k,vp9,30fps
133,mp4,426x240,259k,avc1.4d4015,30fps
243,webm,640x360,465k,vp9,30fps
134,mp4,640x360,633k,avc1.4d401e,30fps
244,webm,854x480,852k,vp9,30fps
135,mp4,854x480,1166k,avc1.4d401f,30fps
247,webm,1280x720,1726k,vp9,30fps
136,mp4,1280x720,2322k,avc1.4d401f,30fps
248,webm,1920x1080,3111k,vp9,30fps
137,mp4,1920x1080,4348k,avc1.640028,30fps
